Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-25,449.0934705991179,455.90408102005466,444.0944975101426,447.0299377441406,5327820,0.0,0.0
2024-01-29,471.2206418577264,473.1582267580996,446.06110074377216,466.7641906738281,17895075,0.0,0.0
2024-01-30,466.76424287635626,483.7278100371789,466.76424287635626,475.2799377441406,14238795,0.0,0.0
2024-01-31,474.70837204526424,480.4436372223375,465.1173312577986,477.9635009765625,9573360,0.0,0.0
2024-02-01,467.15181288131373,472.56736007570976,462.8116113031088,464.4779357910156,10601720,0.0,0.0
2024-02-02,464.5360465496139,469.1184461402815,462.2303154567453,466.08612060546875,4405185,0.0,0.0
2024-02-05,468.70181769432486,471.298204163702,454.78997105074575,456.70819091796875,1993400,0.0,0.0
2024-02-06,459.2183468398558,467.76058523961143,452.14522748307127,466.3109436035156,7511415,2.0,0.0
2024-02-07,466.6027618993025,478.51129479738256,466.3108977365715,469.6577453613281,5230250,0.0,0.0
2024-02-08,471.8662686169478,471.8662686169478,455.48229699739414,456.8735656738281,4430985,0.0,0.0
2024-02-09,456.87359767661655,458.0605615200103,445.88932019638094,454.1786193847656,2903050,0.0,0.0
2024-02-12,454.35373086066653,457.84651079620556,438.75782132947705,440.19775390625,2845040,0.0,0.0
2024-02-13,441.12200897218895,456.0077057196852,434.9439598167494,453.5072937011719,8984610,0.0,0.0
2024-02-14,444.6245132925774,467.89677659292374,443.6905182521416,465.6979675292969,3686385,0.0,0.0
2024-02-15,474.2402336458588,479.33832608924774,469.33670743145416,474.31805419921875,5721585,0.0,0.0
2024-02-16,474.78501067878494,478.63776597650457,473.58830826223,476.6141052246094,4596560,0.0,0.0
2024-02-19,476.61416750061863,479.05620678154,470.22207445723234,474.765625,3451410,0.0,0.0
2024-02-20,474.7656188819507,475.7288003970298,466.0871574693739,470.24151611328125,4396705,0.0,0.0
2024-02-21,469.68696107369783,469.9301911215335,456.3093084427379,458.4302673339844,3665875,0.0,0.0
2024-02-22,459.04323320918485,466.9433407806622,453.9742973982972,466.0677185058594,2571220,0.0,0.0
2024-02-23,466.70987497135104,478.0930245492066,464.68618414117384,475.8455810546875,5723325,0.0,0.0
2024-02-26,476.7114505851923,493.2705417108055,476.3319974551925,483.5705261230469,5989015,0.0,0.0
2024-02-27,481.59550722448074,488.27946436203956,439.1761798418281,461.6311950683594,20513770,0.0,0.0
2024-02-28,465.4450165315801,474.38615552162605,449.0804916842485,457.03900146484375,11119410,0.0,0.0
2024-02-29,466.80709334053574,477.7232590144992,457.4962697263178,474.51263427734375,20232355,0.0,0.0
2024-03-01,480.5252437104277,481.37167946843465,473.81210078740196,476.81842041015625,5500370,0.0,0.0
2024-03-04,478.67670089816363,479.64962102194033,470.69874400672785,476.0498046875,2666695,0.0,0.0
2024-03-05,469.1421240016791,477.8692192286522,469.1421240016791,473.1310729980469,6190170,0.0,0.0
2024-03-06,475.5633408905209,477.31461491426404,457.0584109704451,462.0592346191406,6744720,0.0,0.0
2024-03-07,462.0592766966558,477.7816410769383,462.0592766966558,476.6433410644531,5963990,0.0,0.0
2024-03-11,475.9525628394507,486.4406411681183,471.01985041229835,482.7532653808594,11377355,0.0,0.0
2024-03-12,483.34672492906765,483.34672492906765,468.9864435183171,471.23388671875,7206710,0.0,0.0
2024-03-13,473.7926662682922,474.7266613006037,447.56271759502897,451.7073669433594,8118855,0.0,0.0
2024-03-14,450.4620186988924,452.98187826431126,440.95659974907676,445.8892822265625,10111785,0.0,0.0
2024-03-15,446.3757260019242,450.46200226175813,438.0086369698645,441.0830383300781,7257360,0.0,0.0
2024-03-18,440.73284381673596,453.94508686527394,440.68420968395174,449.2848205566406,5870405,0.0,0.0
2024-03-19,452.0187398483676,455.8909433190336,443.17489861741393,445.0137023925781,6619825,0.0,0.0
2024-03-20,445.59743592736044,452.9721577198613,443.6515955957999,450.3063659667969,4526425,0.0,0.0
2024-03-21,451.96039142349844,458.23570936257266,445.597484531723,449.64483642578125,8698620,0.0,0.0
2024-03-22,455.13205018576014,458.9653580859043,448.54539122908824,453.51702880859375,6367775,0.0,0.0
2024-03-26,443.8462035302754,464.9391061699684,443.64186891228525,461.6603698730469,10693585,0.0,0.0
2024-03-27,468.9475347912995,472.8392155779493,456.2995722346877,464.3456115722656,77232200,0.0,0.0
2024-03-28,461.9522106696848,465.9411891937617,454.9860988836618,459.17938232421875,11625440,0.0,0.0
2024-04-01,461.3588037154649,474.2013334593345,460.3955924585761,473.1797790527344,4228910,0.0,0.0
2024-04-02,472.83920474479993,480.87553488628635,472.8294660418826,479.8345031738281,4433110,0.0,0.0
2024-04-03,481.9846505645819,499.45828865959464,478.4432365537059,497.4443664550781,11588495,0.0,0.0
2024-04-04,501.04417061896714,501.04417061896714,483.7359414202142,486.3238830566406,7019985,0.0,0.0
2024-04-05,488.5129396532289,492.68677555882215,486.0903778946718,490.12799072265625,3253480,0.0,0.0
2024-04-08,494.81746293121495,502.08517774813345,491.7138452309715,499.9253234863281,3678905,0.0,0.0
2024-04-09,503.97266137542937,507.01790633857433,490.95498440630337,496.2671203613281,4766875,0.0,0.0
2024-04-10,498.1253872774507,499.35127619021637,490.2544666818348,491.91815185546875,3504425,0.0,0.0
2024-04-12,490.34203802256343,490.34203802256343,482.3543715604602,483.6580810546875,4144555,0.0,0.0
2024-04-15,485.098028908726,485.098028908726,468.568094137366,469.85235595703125,4750690,0.0,0.0
2024-04-16,467.00168143817467,471.6716863760895,460.8431098283223,467.1476135253906,4033025,0.0,0.0
2024-04-18,470.87391848106864,475.22287286477996,459.43236768555056,461.4463195800781,6791185,0.0,0.0
2024-04-19,457.2433089717795,462.84733884199096,452.4273420906705,460.49285888671875,4797160,0.0,0.0
2024-04-22,465.055827288617,473.2867233660145,461.9424709616827,471.79815673828125,3489700,0.0,0.0
2024-04-23,475.1644879994385,477.9762118035273,470.32907364910227,472.2457275390625,2892585,0.0,0.0
2024-04-24,472.25542821014426,482.8991768762972,470.504183841314,478.8810119628906,8459300,0.0,0.0
2024-04-25,478.4821441977659,487.29679886605226,471.33120445508115,484.8742370605469,14587660,0.0,0.0
2024-04-26,488.8923693841003,493.64996311106063,454.74286659933585,486.1876525878906,20810260,0.0,0.0
2024-04-29,500.0711867586178,501.4332986353725,472.8877971121743,484.9422912597656,11904615,0.0,0.0
2024-04-30,485.09800716661476,501.79332100047145,483.3467330297901,496.52008056640625,13426225,0.0,0.0
2024-05-02,495.51800664548114,505.7239304945806,493.2705632591796,502.4354553222656,9243475,0.0,0.0
