symbol,futVolume,optVolume,totVolume,futTurnover,optTurnover,totTurnover,preTurnover,latestOI,underlying
RECLTD,41614,47950,89564,210596.5624,25012189174.0,215715.89914,5119.33674,109384,366.0
SAIL,28015,19185,47200,201782.16579,14055415236.0,205418.64415,3636.47836,58571,156.65
NATIONALUM,13243,31266,44509,187816.55775,45073495612.5,199848.763875,12032.206125,33631,385.4
BAJAJFINSV,40675,37382,78057,196510.101425,18644268067.5,199756.9821,3246.880675,105346,1926.0
PFC,40640,37672,78312,190664.46477,18389900906.0,195038.02383,4373.55906,104884,363.0
CANBK,18066,29193,47259,187418.25495,30876989197.5,193162.961925,5744.706975,47891,155.0
POWERGRID,39216,21438,60654,188481.60037,10747605436.0,190872.16973,2390.56936,92649,255.0
GRASIM,26162,28978,55140,185885.765725,20812143997.5,187967.5557,2081.789975,78533,2860.0
BPCL,26153,24850,51003,183559.2490025,17877611974.25,186666.821245,3107.5722425,36027,358.25
PAYTM,21406,54992,76398,177178.35505,47841219271.25,184746.8377625,7568.4827125,44890,1150.0
AMBUJACEM,31747,33831,65578,177599.992185,19635037558.5,182220.63027,4620.638085,72792,532.25
WIPRO,25164,22231,47395,176840.2059,16388263560.0,179906.5215,3066.3156,86092,235.4
TATAPOWER,34031,37162,71193,171115.90302,20854213519.0,179586.16821,8470.26519,95477,349.95
BANDHANBNK,32565,18039,50604,175212.22104,10039915440.0,177871.37544,2659.1544,45217,149.4
TMPV,61317,103241,164558,167340.52792,29216589520.0,173211.10312,5870.5752,217379,340.0
RBLBANK,18238,15028,33266,170220.95115,14377781347.25,172327.0896225,2106.1384725,42987,296.5
BHEL,25584,36676,62260,164819.5135125,25214685326.25,170897.291775,6077.7782625,84770,248.0
SUNPHARMA,28861,28967,57828,164980.202135,16908296779.5,166792.00993,1811.807795,107655,1639.0
NTPC,31582,53456,85038,161749.7355,27866122095.0,165336.75645,3587.02095,125614,346.0
YESBANK,24820,18630,43450,161607.11322,12970685424.0,164223.81746,2616.70424,63577,21.18
BIOCON,17393,13936,31329,158827.2885,13405511150.0,161766.275,2938.9865,34146,363.35
GODREJPROP,36522,61990,98512,151947.204365,28411494911.25,161010.2884775,9063.0841125,91159,1523.0
SUZLON,37300,19649,56949,154039.492395,9078162033.25,157766.1432275,3726.6508325,69863,46.18
CDSL,24108,29601,53709,151625.1547475,19788745385.0,156480.2085975,4855.05385,50377,1332.0
BANKBARODA,17050,26113,43163,149609.767905,23458824558.0,153748.963485,4139.19558,60994,302.95
COFORGE,23879,50953,74832,149060.139225,32636027955.0,153136.793775,4076.65455,62041,1670.0
HINDUNILVR,20694,37701,58395,149539.4634,27520095024.0,151952.93364,2413.47024,83554,2403.0
GLENMARK,20023,11817,31840,149722.984125,9165628050.0,151299.839625,1576.8555,43863,2007.1
ASHOKLEY,15202,27228,42430,144842.051,26854216700.0,149291.443,4449.392,56177,193.25
INDHOTEL,22561,16132,38693,145983.4335,11148942750.0,148826.011,2842.5775,51821,649.75
LICHSGFIN,28337,18855,47192,143485.85,10209727140.0,146161.6714,2675.8214,50317,514.0
JSWENERGY,30221,84217,114438,133019.581,39293498360.0,142833.4646,9813.8836,63737,442.0
TITAN,19856,41725,61581,139378.00072,29985068617.0,142781.80189,3403.80117,95178,4003.0
GAIL,27787,20715,48502,140103.581625,11087002584.0,142682.545215,2578.96359,58644,161.1
CGPOWER,29244,52313,81557,135010.17789,25674661621.0,142021.5241,7011.34621,50980,535.5
FEDERALBNK,9499,18082,27581,134600.921,25716898500.0,138713.406,4112.485,31820,284.95
TECHM,12868,31043,43911,133908.01884,32623773366.0,138474.5925,4566.57366,52165,1748.0
COALINDIA,23483,42977,66460,133596.77247,24960548250.0,137200.69872,3603.92625,91231,421.9
IDFCFIRSTB,17277,19388,36665,132371.9031075,15309856289.0,134822.3914975,2450.48839,55127,83.41
TVSMOTOR,21383,23794,45177,132691.05325,15214166985.5,134693.958105,2002.904855,65353,3581.3
LTF,20290,36672,56962,130223.889675,24845666670.0,134443.900125,4220.01045,54746,289.8
APOLLOHOSP,15542,26727,42269,132160.625225,23503656226.25,134256.8124875,2096.1872625,54187,6820.0
NMDC,24986,18220,43206,132075.089325,10060019977.5,134254.0791,2178.989775,81095,79.3
KAYNES,37482,48427,85909,125074.84664,18005354368.0,129752.29032,4677.44368,75750,3365.0
AUBANK,13096,21680,34776,125731.1065,21426680030.0,128795.5068,3064.4003,37750,960.95
VBL,23620,16421,40041,125937.56025,8875628606.25,127163.6150625,1226.0548125,58674,470.55
MAZDOCK,26493,28720,55213,123114.58036,14339122206.0,126528.26242,3413.68206,50441,2349.9
